iter	Passed	Remaining
0	1	115
1	2	105
2	3	99
3	3	90
4	4	87
5	5	85
6	6	83
7	7	81
8	8	82
9	8	80
10	9	79
11	10	77
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	60
28	24	60
29	25	59
30	26	58
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	26
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	79	0
