iter	RMSE
0	40.75877715
1	39.44565546
2	38.14194193
3	37.08739503
4	36.03302161
5	34.96196965
6	33.89511739
7	32.83242751
8	31.75934627
9	30.77266552
10	29.85622878
11	28.99481606
12	28.14445519
13	27.23281862
14	26.4173127
15	25.63508981
16	24.84609885
17	24.08144283
18	23.41589743
19	22.66810082
20	22.02600383
21	21.42551347
22	20.78689877
23	20.17070943
24	19.55930922
25	19.02713831
26	18.49655147
27	17.93383154
28	17.40820016
29	16.94390599
30	16.42276738
31	15.95086433
32	15.54294733
33	15.09698413
34	14.74269018
35	14.29914515
36	13.90170543
37	13.53988702
38	13.14841324
39	12.76115392
40	12.38697039
41	12.06929339
42	11.74627388
43	11.43898024
44	11.10880002
45	10.80864346
46	10.53884288
47	10.22422077
48	9.951631659
49	9.661485388
50	9.386816063
51	9.142329901
52	8.897070339
53	8.683956771
54	8.457237725
55	8.22993842
56	8.04413317
57	7.84283096
58	7.641356464
59	7.444363814
60	7.260013255
61	7.085954628
62	6.903828398
63	6.737669066
64	6.594638903
65	6.438569774
66	6.274972828
67	6.141508893
68	5.994742143
69	5.845322377
70	5.70329864
71	5.576629401
72	5.439707514
73	5.322084923
74	5.190384381
75	5.082447343
76	4.961407021
77	4.857715482
78	4.743776118
79	4.634136085
80	4.534287908
81	4.43766969
82	4.341718209
83	4.24462315
84	4.160688916
85	4.076552566
86	3.994759852
87	3.913651404
88	3.836476226
89	3.765470018
90	3.690280729
91	3.608634826
92	3.541963194
93	3.478935621
94	3.421772383
95	3.357944805
96	3.295147856
97	3.236948366
98	3.169414825
99	3.105493464
100	3.050188431
101	2.987943277
102	2.935814601
103	2.882390191
104	2.831682441
105	2.780181598
106	2.734784347
107	2.696642857
108	2.651235556
109	2.607708359
110	2.569045335
111	2.526362939
112	2.490784508
113	2.456914686
114	2.426474793
115	2.396650775
116	2.36557162
117	2.332302084
118	2.306191788
119	2.278829861
120	2.251747633
121	2.222586823
122	2.198057019
123	2.178817527
124	2.153115932
125	2.126713066
126	2.103608654
127	2.075630383
128	2.055348871
129	2.031968303
130	2.012443847
131	1.994263271
132	1.973026208
133	1.953034094
134	1.933949286
135	1.918646231
136	1.90063676
137	1.882378126
138	1.866659423
139	1.857299841
140	1.842300355
141	1.828194394
142	1.814607609
143	1.797727206
144	1.782792026
145	1.769582879
146	1.757457563
147	1.743957138
148	1.732448205
149	1.721915246
150	1.706341677
151	1.694842469
152	1.684813488
153	1.673883599
154	1.665053845
155	1.654327421
156	1.647176553
157	1.639440027
158	1.62668283
159	1.616913969
160	1.60804899
161	1.598255598
162	1.589755426
163	1.579619196
164	1.569613138
165	1.562326717
166	1.553319915
167	1.546106489
168	1.53943814
169	1.531113236
170	1.521247732
171	1.515064926
172	1.506974971
173	1.498198924
174	1.490843167
175	1.482559698
176	1.476552695
177	1.469508107
178	1.462591727
179	1.45504745
180	1.448369138
181	1.445252932
182	1.437390037
183	1.428455581
184	1.42192525
185	1.416232078
186	1.412188127
187	1.407610197
188	1.402853131
189	1.397030783
190	1.391223209
191	1.385760844
192	1.380127154
193	1.373012366
194	1.369524881
195	1.366149013
196	1.361872434
197	1.358590894
198	1.353505738
199	1.34608938
200	1.340801654
201	1.338104155
202	1.329972222
203	1.322518996
204	1.316398851
205	1.311017288
206	1.308675281
207	1.304761594
208	1.302566773
209	1.29684798
210	1.296004896
211	1.293518403
212	1.28904215
213	1.281708863
214	1.274448779
215	1.272487729
216	1.267485559
217	1.26116582
218	1.257628762
219	1.256655046
220	1.251712961
221	1.24799082
222	1.244211752
223	1.240488108
224	1.23701465
225	1.23616951
226	1.232224172
227	1.230841552
228	1.23008786
229	1.226732763
230	1.226146041
231	1.222609087
232	1.22202944
233	1.217168996
234	1.216381382
235	1.213447611
236	1.21026743
237	1.208220903
238	1.207229495
239	1.204749425
240	1.20334615
241	1.201176217
242	1.200454287
243	1.197523704
244	1.196953508
245	1.196231586
246	1.194385007
247	1.18857163
248	1.185640456
249	1.185206896
250	1.183929907
251	1.181310513
252	1.177371108
253	1.17474363
254	1.170478439
255	1.16638011
256	1.161649121
257	1.159296351
258	1.155554002
259	1.150686116
260	1.147038131
261	1.142819521
262	1.140288917
263	1.135768
264	1.133676468
265	1.131318988
266	1.128911357
267	1.126871004
268	1.12357126
269	1.119800227
270	1.117474786
271	1.114013975
272	1.1092679
273	1.108849483
274	1.108515484
275	1.10723215
276	1.103018506
277	1.098961833
278	1.098650805
279	1.09498615
280	1.094704372
281	1.09439494
282	1.092178721
283	1.090180279
284	1.086707841
285	1.083029744
286	1.078879876
287	1.076064277
288	1.073895082
289	1.071901919
290	1.071602627
291	1.067372891
292	1.067081883
293	1.066849855
294	1.062523625
295	1.062228171
296	1.058936213
297	1.058580953
298	1.056524205
299	1.054591873
300	1.052120074
301	1.047474195
302	1.044077051
303	1.04387
304	1.043595511
305	1.043343095
306	1.043147583
307	1.040530469
308	1.036804073
309	1.036615304
310	1.036370304
311	1.033970614
312	1.033739881
313	1.03025501
314	1.03007833
315	1.026515573
316	1.023362168
317	1.021272598
318	1.018386576
319	1.014481727
320	1.011184571
321	1.008973239
322	1.007259429
323	1.0045233
324	1.000905063
325	1.000678199
326	0.9970903724
327	0.9933719467
328	0.9931512113
329	0.9929904446
330	0.9908171741
331	0.9890440268
332	0.9872268936
333	0.984447266
334	0.9812923857
335	0.9777479863
336	0.9754086038
337	0.9728694766
338	0.9702173769
339	0.9668380981
340	0.9654829261
341	0.96314988
342	0.9615375224
343	0.9593854395
344	0.9565721532
345	0.9542479471
346	0.9516248887
347	0.9493631823
348	0.9463697297
349	0.9434238661
350	0.9411302862
351	0.9394366407
352	0.9370869292
353	0.9354482123
354	0.9322627824
355	0.9303046169
356	0.9277280089
357	0.9255412033
358	0.9240294793
359	0.9221512366
360	0.921980711
361	0.9210342933
362	0.9185301635
363	0.9164548403
364	0.9138306571
365	0.9106786536
366	0.9082678989
367	0.906077863
368	0.9025282717
369	0.9008384943
370	0.8994526107
371	0.896761718
372	0.8948376255
373	0.8935521522
374	0.8899392652
375	0.8870142529
376	0.8844104717
377	0.8831839396
378	0.8816747174
379	0.88072154
380	0.8786992708
381	0.8772240495
382	0.8744731553
383	0.8715605536
384	0.8688625698
385	0.8677518842
386	0.8665988827
387	0.8656203671
388	0.8633284153
389	0.8621057344
390	0.8605933129
391	0.857864234
392	0.8564354616
393	0.8552968272
394	0.8526323572
395	0.8512093032
396	0.85016045
397	0.8475724059
398	0.8455215659
399	0.8425526629
400	0.8398585756
401	0.8373164132
402	0.8351739807
403	0.8323780104
404	0.8301892913
405	0.8278506437
406	0.8254955803
407	0.8232735213
408	0.8209514128
409	0.8189186061
410	0.8172327267
411	0.8148722123
412	0.813619644
413	0.8124326216
414	0.810704218
415	0.8082842959
416	0.8065105611
417	0.8046928513
418	0.8037670806
419	0.801645174
420	0.8002030145
421	0.7987110314
422	0.7968600679
423	0.7955643386
424	0.7945051183
425	0.7925182239
426	0.7900682629
427	0.7889290303
428	0.7880648764
429	0.785874879
430	0.7834707277
431	0.7827223074
432	0.7810915518
433	0.7794378778
434	0.7770088679
435	0.7746685465
436	0.7744688101
437	0.7723959149
438	0.771392372
439	0.769376238
440	0.7682669852
441	0.766517212
442	0.7656221994
443	0.7641006454
444	0.7624177321
445	0.7602322421
446	0.7581270924
447	0.7557958906
448	0.7543553813
449	0.7528446408
450	0.7521235985
451	0.7513043634
452	0.7493726189
453	0.7479260561
454	0.7468206741
455	0.7460493197
456	0.7441015564
457	0.7422376063
458	0.741181565
459	0.7395680675
460	0.7380625888
461	0.7367631853
462	0.7348749437
463	0.7331475689
464	0.7313164966
465	0.7301694448
466	0.7290470755
467	0.7279850968
468	0.727291627
469	0.7271918201
470	0.7266739621
471	0.7259931968
472	0.7249084308
473	0.7240019639
474	0.7234250901
475	0.722419726
476	0.721405299
477	0.7202129726
478	0.718176601
479	0.7171671474
480	0.715737829
481	0.7138295215
482	0.7121787878
483	0.7109454253
484	0.7096856435
485	0.7090061048
486	0.7073497089
487	0.7057985962
488	0.7057080009
489	0.704921307
490	0.7036172941
491	0.7018954782
492	0.6999894153
493	0.6993523582
494	0.6992646477
495	0.6986115691
496	0.697697085
497	0.6965878394
498	0.6949395626
499	0.6940959712
500	0.6940039517
501	0.6933724117
502	0.6927335555
503	0.6907814167
504	0.689864076
505	0.6884761513
506	0.6875912746
507	0.6863584472
508	0.6856694857
509	0.6849771635
510	0.6832923337
511	0.6824232761
512	0.6815430168
513	0.680597283
514	0.6797853691
515	0.6789363506
516	0.6788428292
517	0.6771467753
518	0.6759862327
519	0.6754419531
520	0.6744222024
521	0.6729743518
522	0.671205488
523	0.6698483606
524	0.6688184673
525	0.6675313199
526	0.6663542223
527	0.6662795245
528	0.6650208613
529	0.664547266
530	0.6644154169
531	0.6630630855
532	0.6622051548
533	0.6603897072
534	0.6595976243
535	0.6581949347
536	0.6568920421
537	0.6562014478
538	0.656136584
539	0.6554800072
540	0.6543799317
541	0.6539695165
542	0.6523086883
543	0.6508640273
544	0.6501244865
545	0.6490389041
546	0.6479302861
547	0.6474955831
548	0.6463588109
549	0.6450185833
550	0.6435771062
551	0.6423943369
552	0.6415133452
553	0.6408892862
554	0.6393909888
555	0.6380303483
556	0.6379680611
557	0.6372391784
558	0.6358931617
559	0.6347531453
560	0.6334710132
561	0.6323404931
562	0.6308521372
563	0.629784733
564	0.6290656687
565	0.6281724246
566	0.628111108
567	0.626952165
568	0.6258432478
569	0.6253642932
570	0.6240502165
571	0.6228672731
572	0.6223420033
573	0.6210568003
574	0.619981308
575	0.6188320558
576	0.6177687114
577	0.616390752
578	0.6162739494
579	0.6160728307
580	0.6160088307
581	0.615210747
582	0.6146947973
583	0.6139170605
584	0.6132091459
585	0.6119740384
586	0.6113766454
587	0.6096274538
588	0.6086387905
589	0.6081298205
590	0.6078279593
591	0.6070183568
592	0.6067545466
593	0.6055355488
594	0.6049839872
595	0.6037264006
596	0.6029969306
597	0.6020964946
598	0.6009476969
599	0.599983325
600	0.5995115375
601	0.5982189505
602	0.5967717937
603	0.5956514304
604	0.5942549221
605	0.5940578964
606	0.5940086657
607	0.5926436034
608	0.5917857955
609	0.5908456026
610	0.590394145
611	0.5894977071
612	0.5884263552
613	0.587880303
614	0.5864512565
615	0.5852644665
616	0.5847906774
617	0.5835078008
618	0.5823080008
619	0.5811970882
620	0.5800289835
621	0.578679476
622	0.5776188779
623	0.5762398239
624	0.5751701289
625	0.5745136257
626	0.5734698357
627	0.5734212206
628	0.5724177673
629	0.5715908557
630	0.5706780105
631	0.5705017185
632	0.5695538865
633	0.5686195354
634	0.5685279579
635	0.5674077699
636	0.5669219571
637	0.5662875547
638	0.5654444135
639	0.5648281875
640	0.5637650435
641	0.5629544512
642	0.5625683901
643	0.5615755261
644	0.5615239208
645	0.5611587842
646	0.5599522328
647	0.5593201946
648	0.558449613
649	0.5573082797
650	0.5561929833
651	0.55551391
652	0.5541295494
653	0.55364895
654	0.5527941782
655	0.5518783211
656	0.5518315996
657	0.5517859039
658	0.5505047374
659	0.5500284088
660	0.5499778673
661	0.5489533348
662	0.5481974265
663	0.5471154921
664	0.5458613667
665	0.5450693758
666	0.5446140529
667	0.5437221519
668	0.5432567402
669	0.5427177844
670	0.541895795
671	0.5416061037
672	0.5398997816
673	0.5390345982
674	0.5384900456
675	0.5377640134
676	0.5377193394
677	0.5369311407
678	0.5365415549
679	0.536152807
680	0.5361173985
681	0.5347605465
682	0.5340297338
683	0.5332668867
684	0.5320925264
685	0.5314504173
686	0.5306980979
687	0.529673235
688	0.5285639404
689	0.527502484
690	0.5264223767
691	0.5254417185
692	0.5245605223
693	0.5237329821
694	0.5232894598
695	0.5218701825
696	0.5213275212
697	0.5204542983
698	0.5194431384
699	0.5180997993
700	0.5174042752
701	0.5168758667
702	0.5163434915
703	0.5162886639
704	0.515922839
705	0.5146337519
706	0.5144092905
707	0.5140196887
708	0.5132296715
709	0.5128293762
710	0.5120341274
711	0.5111859643
712	0.5102888926
713	0.5093269724
714	0.5081392169
715	0.5072216783
716	0.5060783308
717	0.5051909069
718	0.5051555383
719	0.504692947
720	0.5039444958
721	0.5029789005
722	0.5019885863
723	0.5014104201
724	0.5010466672
725	0.5009676186
726	0.50085138
727	0.4998087266
728	0.4987557126
729	0.4978825954
730	0.4970059543
731	0.4959618396
732	0.4954169593
733	0.4943374092
734	0.4935594351
735	0.492730247
736	0.4920435135
737	0.491177714
738	0.4902381408
739	0.4895031765
740	0.4888127691
741	0.4878438305
742	0.4871930864
743	0.4862463879
744	0.4854423758
745	0.4847786207
746	0.4840702244
747	0.4840361189
748	0.4836134622
749	0.4832243647
750	0.4825665032
751	0.4821634459
752	0.4821268207
753	0.4816941782
754	0.4808744632
755	0.4798764888
756	0.4795486502
757	0.4787444401
758	0.478404389
759	0.4777265745
760	0.477272853
761	0.476657653
762	0.476006144
763	0.4752726784
764	0.4744685167
765	0.4743595328
766	0.4737192297
767	0.4729888574
768	0.4724021471
769	0.4717705003
770	0.4713723455
771	0.4708256087
772	0.4699682815
773	0.4696438377
774	0.4687629704
775	0.4679513748
776	0.4676056811
777	0.4669376062
778	0.4659432872
779	0.4654602969
780	0.4645882909
781	0.4638603125
782	0.4635873001
783	0.4632312721
784	0.4626594842
785	0.4619077221
786	0.461299437
787	0.4604970351
788	0.4603611201
789	0.4598161898
790	0.4597578711
791	0.4593159348
792	0.4586065319
793	0.4581544595
794	0.4572446457
795	0.4567524037
796	0.4557867378
797	0.455102787
798	0.4545840486
799	0.4537972391
800	0.4530348757
801	0.4524625874
802	0.4516504785
803	0.4508145669
804	0.4500998453
805	0.4494308639
806	0.4489029527
807	0.4482411875
808	0.4479116519
809	0.4471469173
810	0.4467367156
811	0.446110095
812	0.4453270574
813	0.4445895041
814	0.4436800227
815	0.4429555222
816	0.4423931827
817	0.4414957264
818	0.4409359774
819	0.4408795728
820	0.4402678874
821	0.4396614522
822	0.439405823
823	0.4386625061
824	0.4382433679
825	0.4378875681
826	0.4373546946
827	0.4369110567
828	0.4368860122
829	0.436076108
830	0.4353593635
831	0.4346704268
832	0.4341374788
833	0.4334659957
834	0.4328623809
835	0.431912939
836	0.4311251625
837	0.4305070799
838	0.4301017498
839	0.4294387985
840	0.4291710441
841	0.4282861779
842	0.4279460991
843	0.4273137394
844	0.4269253163
845	0.4262181938
846	0.4253297791
847	0.4245659237
848	0.424267422
849	0.4238023147
850	0.4231638783
851	0.4225844193
852	0.4224612793
853	0.4216533149
854	0.4214060563
855	0.4213573932
856	0.42092378
857	0.4201721818
858	0.4195529321
859	0.4193219038
860	0.4188598222
861	0.418470714
862	0.4181051305
863	0.4174795235
864	0.4172943148
865	0.4166070224
866	0.415999506
867	0.4152958607
868	0.4149730194
869	0.4142351394
870	0.4139243052
871	0.4136649421
872	0.4130283303
873	0.4124537959
874	0.4118343146
875	0.4115620754
876	0.4109873419
877	0.4103751562
878	0.4095596136
879	0.4093262728
880	0.4087132894
881	0.4083178074
882	0.4077203029
883	0.4072944138
884	0.4065068855
885	0.4056986757
886	0.4050115278
887	0.4045873788
888	0.4041247145
889	0.4037205251
890	0.4030575118
891	0.4025758244
892	0.4019916614
893	0.4012802426
894	0.4008437839
895	0.4007226834
896	0.4000463588
897	0.3996446503
898	0.3993375837
899	0.3985886211
900	0.3982972628
901	0.3981181624
902	0.3974719131
903	0.3968158275
904	0.3963697864
905	0.3958952901
906	0.3956830558
907	0.3952929652
908	0.3947355212
909	0.3940917117
910	0.3940559573
911	0.3936004553
912	0.3929827916
913	0.3924220214
914	0.3918559286
915	0.3912258577
916	0.3906884061
917	0.3903675405
918	0.3900588145
919	0.3897861963
920	0.3892593684
921	0.388641177
922	0.3883733685
923	0.3882346493
924	0.3877085228
925	0.3872142687
926	0.3868686801
927	0.3868032977
928	0.3864715453
929	0.3858170189
930	0.3852425295
931	0.3846326884
932	0.3839372594
933	0.3833426662
934	0.3827039745
935	0.3822180528
936	0.3815005617
937	0.380978912
938	0.3803311111
939	0.3798307554
940	0.3797402474
941	0.3793859065
942	0.3790796823
943	0.3788789422
944	0.3782911079
945	0.3775288911
946	0.3770549263
947	0.3766930788
948	0.3760684555
949	0.3754419174
950	0.3750980496
951	0.3745007723
952	0.3739262865
953	0.3733058427
954	0.3728042943
955	0.3724087811
956	0.3723846338
957	0.3719622116
958	0.3712604514
959	0.3705615668
960	0.3702894527
961	0.3697776417
962	0.3692262217
963	0.3689304435
964	0.3683735737
965	0.3678885645
966	0.3673310811
967	0.3669268369
968	0.3664342071
969	0.3664017437
970	0.3661323344
971	0.3656725993
972	0.36509955
973	0.3647968551
974	0.3645685524
975	0.3642708968
976	0.3638089698
977	0.3633548836
978	0.3628569905
979	0.3627640621
980	0.3625424089
981	0.3620455506
982	0.361583602
983	0.3610842587
984	0.3604434691
985	0.3601204343
986	0.360088234
987	0.3596968663
988	0.3590571611
989	0.3587748228
990	0.3584665268
991	0.3578146129
992	0.3573874742
993	0.356824608
994	0.3562534808
995	0.3556912725
996	0.3551064327
997	0.3547073922
998	0.354357405
999	0.3539644363
